"Word","Shoresh","Binyan","Book","Chapter ","Verse","Parasha",
"אֲבִיאֶנּוּ ","ב-ו-א","Hifil","Gen.",42,37,"Mikketz",
"אֲבָרֶכְךָ ","ב-ר-ך","Piel","Gen.",22,17,"Vayera",
"אֲחַטֶּנָּה ","ח-ט-א","Piel","Gen.",31,39,"Vayetze",
"אֲכַלֶּה ","כ-ל-ה","Piel","Gen.",24,45,"Chayei Sarah",
"אֲכַפְּרָה ","כ-פ-ר","Piel","Gen.",32,21,"Vayishlach",
"אֲכָלַנִי ","א-כ-ל","Paal","Gen.",31,40,"Vayetze",
"אֲכָלָתְהוּ ","א-כ-ל","Paal","Gen.",37,20,"Vayeshev",
"אֲמַרְתֶּם ","א-מ-ר","Paal","Gen.",43,27,"Mikketz",
"אֲעַשְּׂרֶנוּ ","ע-שׂ-ר","Piel","Gen.",28,22,"Vayetze",
"אֲשִׁיבֶנּוּ ","שׁ-ו-ב","Hifil","Gen.",42,37,"Mikketz",
"אֲשַׁלֵּחֲךָ ","שׁ-ל-ח","Piel","Gen.",32,27,"Vayishlach",
"אֲשַׁלַּח ","שׁ-ל-ח","Piel","Gen.",38,17,"Vayeshev",
"אֲשִׂימֶנוּ ","שׂ-י-ם","Paal","Gen.",21,13,"Vayera",
"אִבָּנֶה ","ב-נ-ה","Nifal","Gen.",16,2,"Lech Lecha",
"אִירָשֶׁנָּה ","י-ר-שׁ","Paal","Gen.",15,8,"Lech Lecha",
"אִמְרִי ","א-מ-ר","Paal","Gen.",12,13,"Lech Lecha",
"אִמָּלְטָה ","מ-ל-ט","Nifal","Gen.",19,20,"Vayera",
"אִשְּׁרוּנִי ","א-שׁ-ר","Piel","Gen.",30,13,"Vayetze",
"אִשָּׁבֵעַ ","שׁ-ב-ע","Nifal","Gen.",21,24,"Vayera",
"אֵדַע ","י-ד-ע","Paal","Gen.",15,8,"Lech Lecha",
"אֵדָעָה ","י-ד-ע","Paal","Gen.",18,21,"Vayera",
"אֵחַר ","א-ח-ר","Piel","Gen.",34,19,"Vayishlach",
"אֵיטִיב ","י-ט-ב","Hifil","Gen.",32,13,"Vayishlach",
"אֵימִנָה ","י-מ-ן","Hifil","Gen.",13,9,"Lech Lecha",
"אֵלֵד ","י-ל-ד","Paal","Gen.",18,14,"Vayera",
"אֵלֵךְ ","ה-ל-ך/י-ל-ך","Paal","Gen.",24,58,"Chayei Sarah",
"אֵרְדָה ","י-ר-ד","Paal","Gen.",18,21,"Vayera",
"אֵרֵד ","י-ר-ד","Paal","Gen.",37,35,"Vayeshev",
"אֶגְדַּל ","ג-ד-ל","Paal","Gen.",41,40,"Mikketz",
"אֶדְרְשֶׁנּוּ ","ד-ר-שׁ","Paal","Gen.",9,5,"Noach",
"אֶדְרֹשׁ ","ד-ר-שׁ","Paal","Gen.",9,5,"Noach",
"אֶמְצָא ","מ-צ-א","Paal","Gen.",18,26,"Vayera",
"אֶעֱבָדְךָ ","ע-ב-ד","Paal","Gen.",29,18,"Vayetze",
"אֶעֱבֹר ","ע-ב-ר","Paal","Gen.",30,32,"Vayetze",
"אֶעֱזָבְךָ ","ע-ז-ב","Paal","Gen.",28,15,"Vayetze",
"אֶעֶרְבֶנוּ ","ע-ר-ב","Paal","Gen.",43,9,"Mikketz",
"אֶקַּח ","ל-ק-ח/י-ק-ח","Paal","Gen.",14,23,"Lech Lecha",
"אֶרְאֶה ","ר-א-ה","Paal","Gen.",21,16,"Vayera",
